ZIP,wildfire_risk_prob
90001,0.244881
90002,0.244881
90003,0.244881
90004,0.293101
90005,0.244881
90006,0.244881
90007,0.244881
90008,0.244881
90009,0.244881
90010,0.244881
90011,0.244881
90012,0.293101
90013,0.244881
90014,0.244881
90015,0.244881
90016,0.244881
90017,0.244881
90018,0.244881
90019,0.244881
90020,0.293101
90021,0.244881
90022,0.275962
90023,0.244881
90024,0.244881
90025,0.244881
90026,0.293101
90027,0.293101
90028,0.293101
90029,0.293101
90030,0.244881
90031,0.293101
90032,0.293101
90033,0.244881
90034,0.244881
90035,0.244881
90036,0.293101
90037,0.244881
90038,0.293101
90039,0.293101
90040,0.275962
90041,0.293101
90042,0.293101
90043,0.244881
90044,0.244881
90045,0.244881
90046,0.760996
90047,0.244881
90048,0.293101
90049,0.713494
90050,0.244881
90051,0.244881
90052,0.244881
90053,0.244881
90054,0.244881
90055,0.244881
90056,0.244881
90057,0.244881
90058,0.244881
90059,0.244881
90060,0.244881
90061,0.244881
90062,0.244881
90063,0.244881
90064,0.244881
90065,0.293101
90066,0.244881
90067,0.244881
90068,0.760996
90069,0.293101
90070,0.244881
90071,0.244881
90072,0.244881
90073,0.275962
90074,0.244881
90075,0.244881
90076,0.244881
90077,0.293101
90078,0.244881
90079,0.275962
90080,0.244881
90081,0.244881
90082,0.244881
90083,0.244881
90084,0.244881
90086,0.244881
90087,0.244881
90088,0.244881
90089,0.275962
90090,0.293101
90091,0.244881
90093,0.244881
90094,0.244881
90095,0.275962
90096,0.244881
90099,0.244881
90134,0.244881
90189,0.244881
90201,0.275962
90202,0.275962
90209,0.293101
90210,0.293101
90211,0.244881
90212,0.244881
90213,0.293101
90220,0.275962
90221,0.275962
90222,0.275962
90223,0.275962
90224,0.275962
90230,0.244881
90231,0.244881
90232,0.244881
90233,0.244881
90239,0.275962
90240,0.275962
90241,0.275962
90242,0.275962
90245,0.244881
90247,0.244881
90248,0.244881
90249,0.244881
90250,0.244881
90251,0.244881
90254,0.244881
90255,0.244881
90260,0.244881
90261,0.244881
90262,0.275962
90263,0.406678
90264,0.406678
90265,0.903912
90266,0.244881
90267,0.275962
90270,0.244881
90272,0.798383
90274,0.244881
90275,0.244881
90277,0.244881
90278,0.244881
90280,0.275962
90290,0.806559
90291,0.244881
90292,0.244881
90293,0.244881
90294,0.244881
90295,0.275962
90296,0.275962
90301,0.244881
90302,0.244881
90303,0.244881
90304,0.244881
90305,0.244881
90306,0.244881
90307,0.275962
90308,0.244881
90309,0.275962
90310,0.275962
90311,0.244881
90312,0.244881
90401,0.244881
90402,0.244881
90403,0.244881
90404,0.244881
90405,0.244881
90406,0.244881
90407,0.244881
90408,0.244881
90409,0.244881
90410,0.244881
90411,0.244881
90501,0.244881
90502,0.275962
90503,0.244881
90504,0.244881
90505,0.244881
90506,0.275962
90507,0.275962
90508,0.275962
90509,0.275962
90510,0.275962
90601,0.716004
90602,0.274258
90603,0.275962
90604,0.275962
90605,0.275962
90606,0.275962
90607,0.275962
90608,0.275962
90609,0.275962
90610,0.275962
90620,0.275962
90621,0.275962
90622,0.275962
90623,0.275962
90624,0.275962
90630,0.275962
90631,0.716004
90632,0.275962
90633,0.275962
90637,0.275962
90638,0.275962
90639,0.275962
90640,0.275962
90650,0.275962
90651,0.275962
90652,0.275962
90660,0.275962
90661,0.275962
90662,0.275962
90670,0.275962
90671,0.275962
90680,0.275962
90701,0.275962
90702,0.275962
90703,0.275962
90704,0.731486
90706,0.275962
90707,0.275962
90710,0.275962
90711,0.275962
90712,0.275962
90713,0.275962
90714,0.275962
90715,0.275962
90716,0.275962
90717,0.275962
90720,0.275962
90721,0.275962
90723,0.275962
90731,0.275962
90732,0.275962
90733,0.275962
90734,0.275962
90740,0.275962
90742,0.275962
90743,0.275962
90744,0.275962
90745,0.275962
90746,0.275962
90747,0.275962
90748,0.275962
90749,0.275962
90755,0.275962
90801,0.275962
90802,0.275962
90803,0.275962
90804,0.275962
90805,0.275962
90806,0.275962
90807,0.275962
90808,0.275962
90809,0.275962
90810,0.275962
90813,0.275962
90814,0.275962
90815,0.275962
90822,0.275962
90831,0.275962
90832,0.275962
90833,0.275962
90834,0.275962
90835,0.275962
90840,0.275962
90842,0.275962
90844,0.275962
90846,0.275962
90847,0.275962
90848,0.275962
90853,0.275962
90895,0.275962
90899,0.275962
91001,0.293101
91003,0.293101
91006,0.293101
91007,0.293101
91008,0.293101
91009,0.293101
91010,0.293101
91011,0.293101
91012,0.293101
91016,0.293101
91017,0.293101
91020,0.293101
91021,0.293101
91023,0.293101
91024,0.293101
91025,0.293101
91030,0.293101
91031,0.293101
91040,0.293101
91041,0.293101
91042,0.293101
91043,0.293101
91046,0.293101
91066,0.293101
91077,0.293101
91101,0.293101
91102,0.293101
91103,0.293101
91104,0.293101
91105,0.293101
91106,0.293101
91107,0.293101
91108,0.293101
91109,0.293101
91110,0.293101
91114,0.293101
91115,0.293101
91116,0.293101
91117,0.293101
91118,0.293101
91121,0.293101
91123,0.293101
91124,0.293101
91125,0.293101
91126,0.293101
91129,0.293101
91182,0.293101
91184,0.293101
91185,0.293101
91188,0.293101
91189,0.293101
91199,0.293101
91201,0.293101
91202,0.293101
91203,0.293101
91204,0.293101
91205,0.293101
91206,0.293101
91207,0.293101
91208,0.293101
91209,0.293101
91210,0.293101
91214,0.293101
91221,0.293101
91222,0.293101
91224,0.293101
91225,0.293101
91226,0.293101
91301,0.928512
91302,0.851185
91303,0.293101
91304,0.293101
91305,0.293101
91306,0.293101
91307,0.293101
91308,0.293101
91309,0.293101
91310,0.356206
91311,0.777186
91313,0.293101
91316,0.293101
91319,0.406678
91320,0.894033
91321,0.806858
91322,0.293101
91324,0.293101
91325,0.293101
91326,0.293101
91327,0.293101
91328,0.293101
91329,0.293101
91330,0.293101
91331,0.293101
91333,0.293101
91334,0.293101
91335,0.293101
91337,0.293101
91340,0.293101
91341,0.293101
